"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","flow_step","flow_steps","flow_type","fp_thres","hidden_ratio","img_size","input_size","learning_rate","num_gaussians","patience","weight_decay","experiment","block_index","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pixel_auroc_score","pro_score_0.2fp","pro_score_0.3fp","roc_auc_score","ssim_loss","stage","train_loss","valid_loss"
"Eval-gmm_50-on-mvtec_tile","finished","-","almi1012","EncoderResNet, MVTecAD, mixture density network","2023-05-13T11:50:52.000Z","23","","","","ResNetEncoder_GaussianMixtureDensityNetwork","","","","","","tile","mvtec","","","ResNetEncoder","cnn_encoder","","","","","0.3","","","","","50","","","diff_backbones","[2,3]","","0.6464646464646465","0.8547275781799407","","","","","","0.5653946649824964","","0.5429311348711829","","","eval","",""
"Eval-gmm_100-on-mvtec_tile","finished","-","almi1012","EncoderNesT, MVTecAD, mixture density network","2023-05-13T11:40:44.000Z","23","","","","EncoderNest_GaussianMixtureDensityNetwork","","","","","","tile","mvtec","","","EncoderNest","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.6727994227994227","0.8357879418047222","","","","","","0.5060123583512925","","0.5015517501221735","","","eval","",""
"Eval-gmm_100-on-mvtec_tile","finished","-","almi1012","EncoderEsViT, MVTecAD, mixture density network","2023-05-13T11:38:08.000Z","22","","","","EncoderEsVit_GaussianMixtureDensityNetwork","","","","","","tile","mvtec","","","EncoderEsVit","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.9931457431457432","0.9974196501925264","","","","","","0.6427974752868203","","0.4874493078754209","","","eval","",""
"Eval-gmm_100-on-mvtec_tile","finished","-","almi1012","EncoderEfficientFormer, MVTecAD, mixture density network","2023-05-13T11:35:13.000Z","21","","","","EncoderEfficientFormer_GaussianMixtureDensityNetwork","","","","","","tile","mvtec","","","EncoderEfficientFormer","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.73989898989899","0.8368251420237287","","","","","","0.7465823134885575","","0.7423496093511206","","","eval","",""
"Eval-gmm_100-on-mvtec_tile","finished","-","almi1012","EncoderDeit, MVTecAD, mixture density network","2023-05-13T11:45:42.000Z","25","","","","EncoderDeit_GaussianMixtureDensityNetwork","","","","","","tile","mvtec","","","EncoderDeit","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.9603174603174603","0.98359687188124","","","","","","0.9173894681191774","","0.9026049441887568","","","eval","",""
"Eval-gmm_100-on-mvtec_hazelnut","finished","-","almi1012","EncoderEsViT, MVTecAD, mixture density network","2023-05-13T11:37:41.000Z","22","","","","EncoderEsVit_GaussianMixtureDensityNetwork","","","","","","hazelnut","mvtec","","","EncoderEsVit","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.9732142857142856","0.986640286037749","","","","","","0.733463907524511","","0.6771778514937536","","","eval","",""
"Eval-gmm_50-on-mvtec_hazelnut","finished","-","almi1012","EncoderResNet, MVTecAD, mixture density network","2023-05-13T11:50:26.000Z","23","","","","ResNetEncoder_GaussianMixtureDensityNetwork","","","","","","hazelnut","mvtec","","","ResNetEncoder","cnn_encoder","","","","","0.3","","","","","50","","","diff_backbones","[2,3]","","0.7287157287157287","0.8927103040397337","","","","","","0.5278584602630119","","0.5138748540352555","","","eval","",""
"Eval-gmm_100-on-mvtec_hazelnut","finished","-","almi1012","EncoderEfficientFormer, MVTecAD, mixture density network","2023-05-13T11:34:48.000Z","22","","","","EncoderEfficientFormer_GaussianMixtureDensityNetwork","","","","","","hazelnut","mvtec","","","EncoderEfficientFormer","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.54","0.6754736405911568","","","","","","0.8983326758217578","","0.8835367599560123","","","eval","",""
"Eval-gmm_100-on-mvtec_hazelnut","finished","-","almi1012","EncoderDeit, MVTecAD, mixture density network","2023-05-13T11:45:11.000Z","24","","","","EncoderDeit_GaussianMixtureDensityNetwork","","","","","","hazelnut","mvtec","","","EncoderDeit","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.6596428571428572","0.6820831937981205","","","","","","0.9714647107585538","","0.9690299051092206","","","eval","",""
"Eval-gmm_100-on-mvtec_hazelnut","finished","-","almi1012","EncoderNesT, MVTecAD, mixture density network","2023-05-13T11:40:20.000Z","22","","","","EncoderNest_GaussianMixtureDensityNetwork","","","","","","hazelnut","mvtec","","","EncoderNest","transformer_encoder","","","","","0.3","","","","","100","","","diff_backbones","","","0.5083928571428571","0.6732482407128129","","","","","","0.5376773829621075","","0.5261038879136646","","","eval","",""
