"Name","State","Notes","User","Tags","Created","Runtime","ad_type","amount_data","architecture","batch_size","centering","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","flow_steps","flow_type","hidden_ratio","img_size","learning_rate","patience","weight_decay","block_index","epoch","fp_thres","image_auroc_score","pixel_auroc_score","image_prauc_score","pro_score_0.3fp","valid_loss","nf_loss"
"ResNetEncoder_NormalizingFlow_AllInOneBlock-2023-05-14_22-31-00","finished","-","almi1012","EncoderResNet, MVTecAD, exp:backbones, normalizing flow","2023-05-14T20:31:00.000Z","390","nf","256","ResNetEncoder_NormalizingFlow_AllInOneBlock","16","false","screw","mvtec_anomaly_detection","","NormalizingFlow","ResNetEncoder","cnn_encoder","500","8","AllInOneBlock","0.16","224","0.0001","30","0.00001","[1,2,3]","44","0.3","0.4978479196556671","0.8623085284521197","0.7347473360821597","0.8399134855456354","-65418.41276041666","-261692.07682291663"
"ResNetEncoder_NormalizingFlow_AllInOneBlock-2023-05-14_22-19-39","finished","-","almi1012","EncoderResNet, MVTecAD, exp:backbones, normalizing flow","2023-05-14T20:19:40.000Z","394","nf","196","ResNetEncoder_NormalizingFlow_AllInOneBlock","16","false","leather","mvtec_anomaly_detection","","NormalizingFlow","ResNetEncoder","cnn_encoder","500","8","AllInOneBlock","0.16","224","0.0001","30","0.00001","[1,2,3]","42","0.3","1","0.9651863494962436","1.0000000000000002","0.9698330029613458","9261.01450892857","-153982.22448979595"
"ResNetEncoder_NormalizingFlow_AllInOneBlock-2023-05-14_22-02-13","finished","-","almi1012","EncoderResNet, MVTecAD, exp:backbones, normalizing flow","2023-05-14T20:02:14.000Z","693","nf","313","ResNetEncoder_NormalizingFlow_AllInOneBlock","16","false","hazelnut","mvtec_anomaly_detection","","NormalizingFlow","ResNetEncoder","cnn_encoder","500","8","AllInOneBlock","0.16","224","0.0001","30","0.00001","[1,2,3]","43","0.3","0.9110714285714286","0.9122493482596896","0.9311810425270136","0.8983806033638749","-55482.8639155983","-248064.27396166135"
"ResNetEncoder_NormalizingFlow_AllInOneBlock-2023-05-14_21-37-32","finished","-","almi1012","EncoderResNet, MVTecAD, exp:backbones, normalizing flow","2023-05-14T19:37:32.000Z","484","nf","224","ResNetEncoder_NormalizingFlow_AllInOneBlock","16","false","carpet","mvtec_anomaly_detection","","NormalizingFlow","ResNetEncoder","cnn_encoder","500","8","AllInOneBlock","0.16","224","0.0001","30","0.00001","[1,2,3]","40","0.3","0.8880417335473515","0.8901913738217565","0.9646625767496404","0.8842133414485062","25463.654761904763","-145825.11830357142"
"ResNetEncoder_NormalizingFlow_AllInOneBlock-2023-05-14_20-47-01","finished","-","almi1012","EncoderResNet, MVTecAD, exp:backbones, normalizing flow","2023-05-14T18:47:03.000Z","287","nf","167","ResNetEncoder_NormalizingFlow_AllInOneBlock","32","false","bottle","mvtec_anomaly_detection","","NormalizingFlow","ResNetEncoder","cnn_encoder","500","8","AllInOneBlock","0.16","224","0.001","30","0.00001","[1,2,3]","45","0.3","0.973015873015873","0.9678093161067188","0.9913526802471628","0.9651116867842396","-194480.11706349207","-427016.0334331338"
"EncoderEsVit_NormalizingFlow_AllInOneBlock-2023-05-14_10-32-33","finished","-","almi1012","EncoderEsViT, MVTecAD, exp:backbones, normalizing flow","2023-05-14T08:32:33.000Z","1564","nf","256","EncoderEsVit_NormalizingFlow_AllInOneBlock","32","false","screw","mvtec_anomaly_detection","","NormalizingFlow","EncoderEsVit","transformer_encoder","500","20","AllInOneBlock","0.16","224","0.0001","30","0.00001","0","270","0.3","0.6472637835622054","0.5970056585778382","0.8534904480703964","0.5736425421391635","19218.486328125","19914.45947265625"
"EncoderEfficientFormer_NormalizingFlow_AllInOneBlock-2023-05-14_09-44-56","finished","-","almi1012","EncoderEfficientFormer, MVTecAD, exp:backbones, normalizing flow","2023-05-14T07:44:56.000Z","383","nf","256","EncoderEfficientFormer_NormalizingFlow_AllInOneBlock","32","false","screw","mvtec_anomaly_detection","","NormalizingFlow","EncoderEfficientFormer","transformer_encoder","500","20","AllInOneBlock","0.16","224","0.001","30","0.00001","0","65","0.3","0.4336954293912687","0.6597732997846296","0.7286345451337586","0.6001579896653739","-1346.90087890625","-9414.04296875"
"EncoderNest_NormalizingFlow_AllInOneBlock-2023-05-14_09-22-10","finished","-","almi1012","EncoderNesT, MVTecAD, exp:backbones, normalizing flow","2023-05-14T07:22:11.000Z","629","nf","256","EncoderNest_NormalizingFlow_AllInOneBlock","32","false","screw","mvtec_anomaly_detection","","NormalizingFlow","EncoderNest","transformer_encoder","500","20","AllInOneBlock","0.16","224","0.001","30","0.00001","0","103","0.3","0.6202090592334495","0.5191933025843851","0.8244325882137937","0.5071859091910035","-46530.4921875","-40074.134765625"
"EncoderEsVit_NormalizingFlow_AllInOneBlock-2023-05-14_08-57-42","finished","-","almi1012","EncoderEsViT, MVTecAD, exp:backbones, normalizing flow","2023-05-14T06:57:42.000Z","1467","nf","196","EncoderEsVit_NormalizingFlow_AllInOneBlock","32","false","leather","mvtec_anomaly_detection","","NormalizingFlow","EncoderEsVit","transformer_encoder","500","20","AllInOneBlock","0.16","224","0.0001","30","0.00001","0","195","0.3","0.9592391304347824","0.7163887826204316","0.9872822983706726","0.6262716053042723","-1134.1644710618623","1158.9429408482142"
"EncoderEfficientFormer_NormalizingFlow_AllInOneBlock-2023-05-14_08-02-01","finished","-","almi1012","EncoderEfficientFormer, MVTecAD, exp:backbones, normalizing flow","2023-05-14T06:02:02.000Z","466","nf","196","EncoderEfficientFormer_NormalizingFlow_AllInOneBlock","32","false","leather","mvtec_anomaly_detection","","NormalizingFlow","EncoderEfficientFormer","transformer_encoder","500","20","AllInOneBlock","0.16","224","0.001","30","0.00001","0","61","0.3","0.7666440217391304","0.8686409511291722","0.8918330093556015","0.8538336376396795","20593.360132334183","14407.811832350128"
