"Name","State","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","flow_steps","hidden_ratio","img_size","learning_rate","weight_decay","block_index","epoch","fp_thres","image_auroc_score","image_prauc_score","pixel_auroc_score","pro_score_0.3fp","nf_loss","valid_loss"
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-14_11-53-11","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-14T09:53:12.000Z","1698","","nf","167","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","bottle","mvtec_anomaly_detection","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","293","0.3","0.9984126984126984","0.999507783882784","0.8502176499799593","0.8395634466609769","-207467.58158682636","-182162.59895833337"
"Eval-nf-on-mvtec_bottle","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-08T13:10:49.000Z","41","","","","EncoderDeit_NormalizingFlow","","","bottle","mvtec","","","","transformer_encoder","","","","","","","","","","0.3","0.9984126984126984","0.999507783882784","0.8641303901990458","0.8595002932738784","",""
"Eval-nf-on-mvtec_cable","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-08T13:09:41.000Z","64","","","","EncoderDeit_NormalizingFlow","","","cable","mvtec","","","","transformer_encoder","","","","","","","","","","0.3","0.9441529235382308","0.9665335258807248","0.9518919755177064","0.9468149255644602","",""
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-14_12-21-33","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-14T10:21:33.000Z","875","","nf","179","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","cable","mvtec_anomaly_detection","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","94","0.3","0.9171664167916044","0.9409456372296704","0.9450315081062036","0.9413935104963754","-44002.67774528631","-15961.123914930557"
"Eval-nf-on-mvtec_capsule","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-08T13:15:15.000Z","60","","","","EncoderDeit_NormalizingFlow","","","capsule","mvtec","","","","transformer_encoder","","","","","","","","","","0.3","0.929397686477862","0.9827200495456064","0.9387655708985448","0.9341527510167016","",""
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-14_12-36-12","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-14T10:36:12.000Z","2184","","nf","175","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","capsule","mvtec_anomaly_detection","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","248","0.3","0.9325887514958116","0.984949760906496","0.9435944420696636","0.9380308899176604","-177504.62651785713","-145603.9346590909"
"Eval-nf-on-mvtec_carpet","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-08T13:07:29.000Z","51","","","","EncoderDeit_NormalizingFlow","","","carpet","mvtec","","","","transformer_encoder","","","","","","","","","","0.3","0.9606741573033708","0.989603376960406","0.9630962408867324","0.9591978922772956","",""
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-14_13-12-39","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-14T11:12:40.000Z","3907","","nf","224","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","carpet","mvtec_anomaly_detection","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","361","0.3","0.9502407704654896","0.9872939113180628","0.9541282845875791","0.9504573277489224","-142026.68973214287","-125064.45089285714"
"Eval-nf-on-mvtec_grid","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-08T13:13:41.000Z","37","","","","EncoderDeit_NormalizingFlow","","","grid","mvtec","","","","transformer_encoder","","","","","","","","","","0.3","0.9807852965747704","0.9945134232453048","0.9395802541503055","0.9379485870789523","",""
"EncoderDeit_NormalizingFlow_AllInOneBlock-2023-05-14_14-17-50","finished","EncoderDeit, MVTecAD, normalizing flow","2023-05-14T12:17:50.000Z","782","","nf","211","EncoderDeit_NormalizingFlow_AllInOneBlock","","32","grid","mvtec_anomaly_detection","","NormalizingFlow","EncoderDeit","transformer_encoder","500","","20","0.16","224","0.001","0.00001","0","133","0.3","0.9757727652464494","0.9927202317212868","0.939407186455055","0.9391740040080664","-121832.55154028436","-91946.19280660378"
