"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ad_type","amount_data","architecture","backbone_name","batch_size","centering","conv3x3_only","data_class","dataclass","dataset","dataset_name","decoder","encoder","encoder_type","epochs","experiment","fp_thres","img_size","learning_rate","patience","weight_decay","epoch","image_auroc_score","image_prauc_score","mdn_loss","mdn_train_loss","mdn_valid_loss","mse_loss","nf_loss","pro_score_0.3fp","train_loss","valid_loss","pixel_auroc_score"
"AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize-2023-05-10_13-06-11","finished","-","almi1012","DecoderResNet, EncoderEsViT, MVTecAD, recon","2023-05-10T11:06:12.000Z","3965","","recon","198","AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize","","32","false","","","wood","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","412","0.9701754385964912","0.9912257786056607","","","","","","0.6446798099393055","0.004311974259149848","0.0033011771928595037","0.6587488739986075"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-10_12-25-20","finished","-","almi1012","DecoderResNet, EncoderDeit, MVTecAD, recon","2023-05-10T10:25:20.000Z","2447","","recon","198","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","wood","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","239","0.9649122807017544","0.9899004240293346","","","","","","0.5620075011445369","0.00978175639127842","0.008582117416116655","0.5369905698221914"
"AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize-2023-05-10_11-45-33","finished","-","almi1012","DecoderResNet, EncoderEfficientFormer, MVTecAD, recon","2023-05-10T09:45:33.000Z","2381","","recon","198","AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize","","32","false","","","wood","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","246","0.9385964912280702","0.9805613584459144","","","","","","0.5967171821825052","0.010538873761290252","0.006924104268605612","0.593050322541773"
"AutoEncoderNest_DecoderResNetVariableEmbeddingSize-2023-05-10_10-25-00","finished","-","almi1012","DecoderResNet, EncoderNesT, MVTecAD, recon","2023-05-10T08:25:00.000Z","4830","","recon","198","AutoEncoderNest_DecoderResNetVariableEmbeddingSize","","32","false","","","wood","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","499","0.9552631578947368","0.9864679745932944","","","","","","0.6543585882331873","0.003548181808619487","0.0032212655535157845","0.6725221199497818"
"AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize-2023-05-10_06-31-49","finished","-","almi1012","DecoderResNet, EncoderEsViT, MVTecAD, recon","2023-05-10T04:31:49.000Z","2883","","recon","256","AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize","","32","false","","","screw","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","421","0.4076655052264808","0.7069927154304428","","","","","","0.7142515604988466","0.010887690354138613","0.005550042958930135","0.7079923279414384"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-10_05-53-11","finished","-","almi1012","DecoderResNet, EncoderDeit, MVTecAD, recon","2023-05-10T03:53:11.000Z","2314","","recon","256","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","screw","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","303","0.4127895060463209","0.721535155899544","","","","","","0.5726615243948497","0.01725643710233271","0.010733657516539097","0.5156062044022989"
"AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize-2023-05-10_04-58-23","finished","-","almi1012","DecoderResNet, EncoderEfficientFormer, MVTecAD, recon","2023-05-10T02:58:23.000Z","3283","","recon","256","AutoEncoderEfficientFormer_DecoderResNetVariableEmbeddingSize","","32","false","","","screw","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","481","0.5777823324451732","0.772854794753431","","","","","","0.7985827961095997","0.0020809497364098206","0.0032605663873255253","0.7977326297832904"
"AutoEncoderNest_DecoderResNetVariableEmbeddingSize-2023-05-10_04-10-45","finished","-","almi1012","DecoderResNet, EncoderNesT, MVTecAD, recon","2023-05-10T02:10:45.000Z","2855","","recon","256","AutoEncoderNest_DecoderResNetVariableEmbeddingSize","","32","false","","","screw","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","408","0.2617339618774339","0.6434191973441827","","","","","","0.7669111561975652","0.01288807427044958","0.008424614556133747","0.7600040894768031"
"AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize-2023-05-10_01-08-07","finished","-","almi1012","DecoderResNet, EncoderEsViT, MVTecAD, recon","2023-05-09T23:08:07.000Z","1476","","recon","196","AutoEncoderEsVit_DecoderResNetVariableEmbeddingSize","","32","false","","","leather","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","175","0.7788722826086957","0.928413671111342","","","","","","0.6342132602823968","0.0038141489257009662","0.000978036477154463","0.6615700669667459"
"AutoEncoderDeit_DecoderResNetVariableEmbeddingSize-2023-05-10_00-33-53","finished","-","almi1012","DecoderResNet, EncoderDeit, MVTecAD, recon","2023-05-09T22:33:53.000Z","2050","","recon","196","AutoEncoderDeit_DecoderResNetVariableEmbeddingSize","","32","false","","","leather","mvtec_anomaly_detection","","DecoderResNetVariableEmbeddingSize","","transformer","500","","0.3","224","0.0005","30","0.00001","230","0.8053668478260869","0.9297531836937551","","","","","","0.7565356382408079","0.0006533882115036249","0.0007643507430044821","0.7747170168972437"
